"Disparities in Perimyotis subflavus body mass between cave and culvert hibernacula in Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrall, E.A.1,2, S. Perea1, K.M. Morris2, P.E. Pattavina3, B.J. Irwin4, J. Hepinstall-Cymerman1, and S.B. Castleberry1*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1Warnell School of Forestry and Natural Resources, University of Georgia, 180 E Green Street, Athens, GA 30602, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Wildlife Conservation Section, Georgia Department of Natural Resources, Highway 278 SE Social Circle, GA 30025, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3United States Fish and Wildlife Service, Ecological Services, 355 East Hancock Avenue Room 320, Athens, GA, 30601, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4U.S. Geological Survey, Georgia Cooperative Fish & Wildlife Unit, Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_num,site,date,type,timing,num_boxes,length_m,width_m,height_m,Latitude,Longitide,utmN,roost,species,age,sex,repro_status,mass,FA,Pd_area,Pd_known,vis_WNS,bat_temp,WDI,band_num,band_type,year,mass_loss,prop.loss
8,115,Little River Culvert,3/3/2020,Culvert,Late,3,71.0184,3.048,3.048,33.61134,-83.70878,3722352.835,,PESU,A,M,NR,5,34,Pd_neg,Pd_neg,No,NA,0,GA0679,Recap,2020,-1,0.166666667
11,115,Little River Culvert,3/3/2020,Culvert,Late,3,71.0184,3.048,3.048,33.61134,-83.70878,3722352.835,,PESU,A,M,NR,5,34,Pd_neg,Pd_neg,No,NA,0,GA0698,Recap,2020,-1,0.166666667
29,127,Buck Creek Culvert,2/24/2020,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,,PESU,A,M,NR,5,34.5,Pd_pos,,No,NA,0,GA0922,Recap,2020,-1,0.166666667
135,275,White River Cave Paired Site,3/30/2021,Culvert,Late,1,236.5248,1.2192,1.2192,33.954191,-84.9829,3764229.321,SW,PESU,A,M,NR,5.32,33.28,Pd_pos,Unk,No,14.8,0P,GA2066,Recap,2021,-1.08,0.16875
175,NA,Black Diamond Tunnel,2/22/2022,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,,PESU,A,F,NR,6.54,36,WNS,WNS,No,11.9,1,GA0747,Recap,2022,-1.33,0.168996188
102,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,HC,PESU,A,M,NR,5.03,33,Pd_pos,Pd_pos,No,16.2,0P,GA2242,Recap,2022,-1.03,0.169966997
178,NA,Black Diamond Tunnel,2/22/2022,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,,PESU,A,M,NR,4.82,33,WNS,WNS,No,NA,0,GA2134,Recap,2022,-0.99,0.170395869
48,127,Buck Creek Culvert,2/23/2021,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,SW,PESU,A,M,S/TD,4.56,33.13,Pd_pos,,No,9.3,0P,GA0924,Recap,2021,-0.94,0.170909091
116,385,Harris Little Creek Culvert,3/21/2022,Culvert,Late,2,117.6528,2.1336,2.1336,32.74272,-85.01847,3629914.937,SW,PESU,A,M,NR,4.69,32.5,Pd_pos,Pd_pos,No,14.8,0,GA2194,Recap,2022,-0.98,0.172839506
154,NA,Osborn Cave,2/22/2021,Cave,Late,NA,NA,NA,NA,34.2093,-85.21507,3793403.816,,PESU,A,M,NR,4.88,33.28,WNS,WNS,No,10.1,0,GA2044,Recap,2021,-1.03,0.17428088
89,238,Red Creek Culvert,3/1/2021,Culvert,Late,4,64.9224,2.7432,2.7432,33.08629498,-83.9924132,3664836.993,CK,PESU,A,F,NR,5.78,32.76,Pd_pos,Pd_pos,No,15.1,1,GA0519,Recap,2021,-1.22,0.174285714
103,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,HC,PESU,A,M,NR,5.24,34,Pd_pos,Pd_pos,No,18.2,0,GA2244,Recap,2022,-1.11,0.17480315
159,NA,Black Diamond Tunnel,2/24/2021,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,SW,PESU,A,M,NR,5.83,34.46,WNS,WNS,No,11,1,GA2028,Recap,2021,-1.24,0.175388967
155,NA,Black Diamond Tunnel,2/24/2021,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,HC,PESU,A,F,NR,7.09,36.24,WNS,WNS,No,12.4,1,GA0747,Recap,2021,-1.53,0.1774942
113,385,Harris Little Creek Culvert,3/21/2022,Culvert,Late,2,117.6528,2.1336,2.1336,32.74272,-85.01847,3629914.937,HC,PESU,A,F,NR,6.02,34,Pd_pos,Pd_pos,No,15.7,0,GA2180,Recap,2022,-1.3,0.177595628
120,412,Little Hichitee Creek Culvert,3/22/2022,Culvert,Late,3,108.8136,3.048,2.4384,32.2542866,-84.7910126,3574933.588,HC,PESU,A,M,NR,4.48,33,Pd_pos,,No,NA,0,GA2164,Recap,2022,-0.97,0.177981651
52,127,Buck Creek Culvert,3/18/2022,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,SW,PESU,A,M,NR,4.29,32.5,Pd_pos,,No,11.1,0,GA0624,Recap,2022,-0.93,0.17816092
24,115,Little River Culvert,3/2/2021,Culvert,Late,3,71.0184,3.048,3.048,33.61134,-83.70878,3722352.835,HC,PESU,A,M,NR,5.34,33.8,Pd_pos,Pd_pos,No,10.9,0,GA0641,Recap,2021,-1.16,0.178461538
38,127,Buck Creek Culvert,2/23/2021,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,SW,PESU,A,M,S/TD,4.51,34.58,Pd_pos,,No,11.7,0,GA0527,Recap,2021,-0.99,0.18
